product_id,product_name,link_image,image_path
103958,GLAMIRA Pendant Sinobia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sinobia02/diamond/tanzanite_AAA/alloycolour/red.jpg,gs://glamira_bucket/product-image/GLAMIRA-Pendant-Sinobia-view-1.jpg
91064,Engagement Ring Alfrida 0.5 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alfrida05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Alfrida-0.5-crt-view-1.jpg
103149,Engagement Ring Malgosia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/malgosia01/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Malgosia-view-1.jpg
108850,Shining Fortune 8 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-h1060/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w8/profile/prA/surface/polished.jpg,gs://glamira_bucket/product-image/Shining-Fortune-8-mm-view-1.jpg
98369,Engagement Ring Loredana,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp038/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Loredana-view-1.jpg
102484,GLAMIRA Bracelet Tanel,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WBCL-U056/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg,gs://glamira_bucket/product-image/GLAMIRA-Bracelet-Tanel-view-1.jpg
84879,Engagement Ring Amalia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amalia-n/diamond/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Amalia-view-1.jpg
110387,GLAMIRA Men's Pendant Balfour,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-balfour/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Men's-Pendant-Balfour-view-1.jpg
89602,GLAMIRA Men's Ring No Rush,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN17/diamond/sapphire_AA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Men's-Ring-No-Rush-view-1.jpg
89592,GLAMIRA Men's Ring Cool Breeze,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN18/diamond/topaz-Blue_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Men's-Ring-Cool-Breeze-view-1.jpg
84776,Engagement Ring Jessica,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100680R/diamond/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Jessica-view-1.jpg
106239,Wedding Ring Strong Love 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-n1130/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w5/profile/prA.jpg,gs://glamira_bucket/product-image/Wedding-Ring-Strong-Love-5-mm-view-1.jpg
98787,Men's Ring Pure Love 6 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4008-MEN/alloycolour/white/width/w6/profile/prB/surface/polished_verticalline.jpg,gs://glamira_bucket/product-image/Men's-Ring-Pure-Love-6-mm-view-3.jpg
103337,Engagement Ring Naola,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/naola/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Naola-view-1.jpg
90419,GLAMIRA Pendant Despina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/P3-033/diamond/diamond-Brillant_AAA/alloycolour/yellow_white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Pendant-Despina-view-1.jpg
109652,GLAMIRA Necklace Harvey,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/harvey-n/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Necklace-Harvey-view-1.jpg
102106,GLAMIRA Kids Bracelet Ezira,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-U021/diamond/diamond-Brillant_AAA/alloycolour/red.jpg,gs://glamira_bucket/product-image/GLAMIRA-Kids-Bracelet-Ezira-view-1.jpg
99682,Women's Ring Exotic Birth,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-MA020-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Women's-Ring-Exotic-Birth-view-2.jpg
101332,GLAMIRA Men's Ring Fernando,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MRI-U022/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg,gs://glamira_bucket/product-image/GLAMIRA-Men's-Ring-Fernando-view-1.jpg
